City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Along,IN,2022-09-22 05:51:38,28.1667,94.7667,83.19,82,56,2.53,broken clouds
195,Jinchang,CN,2022-09-22 05:51:39,38.4953,102.1739,69.12,20,35,9.08,scattered clouds
196,Lasa,IT,2022-09-22 05:43:27,46.6166,10.7002,47.28,64,16,3.11,few clouds
197,College,US,2022-09-22 05:51:40,64.8569,-147.8028,41.58,91,100,3.44,light rain
198,Teya,RU,2022-09-22 05:51:40,60.3778,92.6267,50.94,91,93,8.81,overcast clouds
199,Carnarvon,AU,2022-09-22 05:44:11,-24.8667,113.6333,70.79,56,0,16.24,clear sky
200,Tiksi,RU,2022-09-22 05:42:40,71.6872,128.8694,33.71,90,99,11.32,overcast clouds
201,Porto Novo,BJ,2022-09-22 05:50:10,6.4965,2.6036,73.99,93,100,4.09,light rain
202,Lagunas,PE,2022-09-22 05:51:41,-5.2269,-75.6753,76.19,70,12,2.39,few clouds
203,Acarau,BR,2022-09-22 05:46:54,-2.8856,-40.12,77.79,76,14,15.79,few clouds
204,Severo-Kurilsk,RU,2022-09-22 05:42:39,50.6789,156.125,52.5,67,0,14.05,clear sky
205,Natal,BR,2022-09-22 05:51:42,-5.795,-35.2094,79.02,83,40,6.91,scattered clouds
206,Santa Maria,BR,2022-09-22 05:50:25,-29.6842,-53.8069,55.69,96,90,4.23,overcast clouds
207,Sokoni,TZ,2022-09-22 05:51:43,-6.4333,39.55,76.14,72,83,9.33,broken clouds
208,Tual,ID,2022-09-22 05:51:44,-5.6667,132.75,78.6,83,100,8.9,moderate rain
209,Jumla,NP,2022-09-22 05:51:44,29.2747,82.1838,72.55,61,42,5.21,scattered clouds
210,Kavieng,PG,2022-09-22 05:44:18,-2.5744,150.7967,83.25,72,42,13.87,scattered clouds
211,Khurda,IN,2022-09-22 05:51:45,20.1833,85.6167,87.71,61,73,4.92,broken clouds
212,Ahuimanu,US,2022-09-22 05:51:45,21.4447,-157.8378,80.31,69,75,8.05,broken clouds
213,Nikki,BJ,2022-09-22 05:51:46,9.9401,3.2108,71.1,95,100,2.28,overcast clouds
214,Sinjai,ID,2022-09-22 05:51:46,-5.1241,120.253,85.62,64,70,8.23,light rain
215,Placerville,US,2022-09-22 05:51:47,38.7296,-120.7986,59.41,82,0,8.05,clear sky
216,Kudahuvadhoo,MV,2022-09-22 05:51:47,2.6708,72.8944,82.53,70,25,6.26,scattered clouds
217,Santa Rosa,PH,2022-09-22 05:51:48,14.3122,121.1114,83.1,73,100,8.21,moderate rain
218,Russell,US,2022-09-22 05:51:48,32.3502,-85.1999,74.43,100,0,0.0,mist
219,Salalah,OM,2022-09-22 05:43:40,17.0151,54.0924,82.49,74,75,5.75,broken clouds
220,Camana,PE,2022-09-22 05:51:49,-16.6228,-72.7111,59.2,86,98,9.37,overcast clouds
221,Ust-Tsilma,RU,2022-09-22 05:51:49,65.441,52.1498,41.65,79,87,9.06,overcast clouds
222,Fortuna,US,2022-09-22 05:48:21,40.5982,-124.1573,57.65,88,36,3.53,scattered clouds
223,Ixtapa,MX,2022-09-22 05:39:45,20.7,-105.2,78.22,89,100,1.01,overcast clouds
224,Tessalit,ML,2022-09-22 05:51:50,20.1986,1.0114,83.95,42,46,5.48,scattered clouds
225,Morgantown,US,2022-09-22 05:47:10,39.6295,-79.9559,71.22,93,100,3.44,moderate rain
226,Coquimbo,CL,2022-09-22 05:47:20,-29.9533,-71.3436,51.53,57,0,8.05,clear sky
227,Selizharovo,RU,2022-09-22 05:51:51,56.8519,33.4487,47.34,89,100,7.45,overcast clouds
228,Inhambane,MZ,2022-09-22 05:42:56,-23.865,35.3833,71.58,94,40,0.0,scattered clouds
229,Nata,PA,2022-09-22 05:51:53,8.3333,-80.5167,74.1,95,81,4.85,broken clouds
230,Souris,CA,2022-09-22 05:51:53,49.6172,-100.2612,33.66,85,15,2.08,few clouds
231,Maarianhamina,AX,2022-09-22 05:51:54,60.0973,19.9348,33.66,100,0,1.14,clear sky
232,Noumea,NC,2022-09-22 05:47:59,-22.2763,166.4572,76.98,79,32,15.79,scattered clouds
233,Portland,US,2022-09-22 05:51:55,45.5234,-122.6762,69.42,71,100,5.99,overcast clouds
234,Norman Wells,CA,2022-09-22 05:44:25,65.282,-126.8329,48.24,81,100,5.75,overcast clouds
235,Mayo,US,2022-09-22 05:51:56,38.8876,-76.5119,75.13,85,0,3.44,clear sky
236,Sechura,PE,2022-09-22 05:44:11,-5.5569,-80.8222,61.25,87,65,10.2,broken clouds
237,Merauke,ID,2022-09-22 05:51:57,-8.4667,140.3333,82.17,80,91,7.2,overcast clouds
238,Serramanna,IT,2022-09-22 05:48:44,39.4244,8.9244,64.65,100,20,2.3,few clouds
239,Palana,RU,2022-09-22 05:51:57,59.1167,159.9667,41.95,70,43,37.87,scattered clouds
240,Cap Malheureux,MU,2022-09-22 05:51:58,-19.9842,57.6142,76.46,67,6,14.0,clear sky
241,Orotukan,RU,2022-09-22 05:42:51,62.2667,151.7,32.32,90,100,10.18,light snow
242,Saskylakh,RU,2022-09-22 05:42:48,71.9167,114.0833,27.91,81,94,4.45,overcast clouds
243,Lima,PE,2022-09-22 05:51:58,-12.0432,-77.0282,59.9,84,100,5.75,overcast clouds
244,Kingaroy,AU,2022-09-22 05:51:59,-26.5333,151.8333,71.15,58,65,4.32,broken clouds
245,Guerrero Negro,MX,2022-09-22 05:41:44,27.9769,-114.0611,72.46,78,78,9.44,broken clouds
246,Iki-Burul,RU,2022-09-22 05:51:59,45.8208,44.6472,69.37,66,93,10.07,overcast clouds
247,Mungwi,ZM,2022-09-22 05:52:00,-10.1732,31.3694,70.97,41,60,6.69,broken clouds
248,Brugg,CH,2022-09-22 05:52:00,47.481,8.2087,45.12,88,59,2.35,broken clouds
249,Novobiryusinskiy,RU,2022-09-22 05:52:01,56.9578,97.7076,62.78,58,100,11.59,overcast clouds
250,Nyurba,RU,2022-09-22 05:44:21,63.2842,118.3319,38.37,44,14,5.82,few clouds
251,Mahebourg,MU,2022-09-22 05:42:44,-20.4081,57.7,76.24,78,75,13.8,broken clouds
252,Klaksvik,FO,2022-09-22 05:44:02,62.2266,-6.589,50.92,88,18,22.1,few clouds
253,Uarini,BR,2022-09-22 05:52:02,-2.99,-65.1083,73.44,82,44,2.17,scattered clouds
254,Iqaluit,CA,2022-09-22 05:43:07,63.7506,-68.5145,35.33,69,100,13.8,overcast clouds
255,Botwood,CA,2022-09-22 05:52:02,49.1499,-55.3482,55.9,94,100,11.97,overcast clouds
256,Wawa,NG,2022-09-22 05:52:03,9.9022,4.4192,72.19,93,100,0.98,overcast clouds
257,Manadhoo,MV,2022-09-22 05:52:03,5.7667,73.3833,81.91,73,5,5.73,clear sky
258,Kidal,ML,2022-09-22 05:52:04,18.4411,1.4078,84.4,48,56,8.77,broken clouds
259,Souillac,MU,2022-09-22 05:42:40,-20.5167,57.5167,75.58,78,75,13.8,broken clouds
260,Tombouctou,ML,2022-09-22 05:52:05,20.0,-3.0,86.4,47,4,6.46,clear sky
261,Masallatah,LY,2022-09-22 05:52:05,32.6167,14.0,72.81,75,68,0.6,broken clouds
262,Staryy Nadym,RU,2022-09-22 05:52:06,65.6118,72.6842,39.11,73,95,31.63,overcast clouds
263,Praia Da Vitoria,PT,2022-09-22 05:52:06,38.7333,-27.0667,71.76,94,0,4.5,clear sky
264,Santa Fe,AR,2022-09-22 05:50:09,-31.6333,-60.7,52.02,73,93,5.01,overcast clouds
265,Ndago,TZ,2022-09-22 05:52:07,-4.6,34.35,71.02,48,81,10.69,broken clouds
266,Binga,ZW,2022-09-22 05:52:07,-17.6203,27.3414,80.65,34,39,4.54,scattered clouds
267,Kachug,RU,2022-09-22 05:52:08,53.9606,105.8817,51.91,34,94,7.49,overcast clouds
268,Tiznit,MA,2022-09-22 05:42:55,29.5833,-9.5,66.69,63,0,1.48,clear sky
269,Chuy,UY,2022-09-22 05:43:11,-33.6971,-53.4616,50.2,89,100,6.53,overcast clouds
270,Birjand,IR,2022-09-22 05:44:12,32.8663,59.2211,79.27,11,0,0.0,clear sky
271,Port-Gentil,GA,2022-09-22 05:52:10,-0.7193,8.7815,76.96,88,40,9.22,scattered clouds
272,Hurricane,US,2022-09-22 05:52:10,37.1753,-113.2899,77.47,63,44,1.77,scattered clouds
273,Benguela,AO,2022-09-22 05:52:10,-12.5763,13.4055,72.7,80,40,0.34,scattered clouds
